[Info   :SlimeRancher2-AP] [AP-Dump] ========== UPGRADE COMPONENT DUMP (15 UpgradeDefinitions) ==========
[Info   :SlimeRancher2-AP] [AP-Dump]   AmmoCapacity[lvl1] → component='TankBoosterComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   AmmoCapacity[lvl2] → component='TankBoosterComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   AmmoCapacity[lvl3] → component='TankBoosterComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   AmmoCapacity[lvl4] → component='TankBoosterComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   AmmoCapacity[lvl5] → component='TankBoosterComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   AmmoCapacity[lvl6] → component='TankBoosterComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   AmmoCapacity[lvl7] → component='TankBoosterComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   AmmoSlots[lvl1] → component='ExtraTankComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   ArchiveKey[lvl0] → component='ArchiveKeyComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   EnergyCapacity[lvl1] → component='PowerCoreComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   EnergyCapacity[lvl2] → component='PowerCoreComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   EnergyCapacity[lvl3] → component='PowerCoreComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   EnergyCapacity[lvl4] → component='PowerCoreComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   EnergyDelay[lvl0] → component='PowerInjectorComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   EnergyDelay[lvl1] → component='PowerInjectorComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   EnergyRegen[lvl0] → component='RegenComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   EnergyRegen[lvl1] → component='RegenComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   GoldenSureshot[lvl0] → component='SureShotComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   GoldenSureshot[lvl1] → component='SureShotComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   GoldenSureshot[lvl2] → component='SureShotComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   HealthCapacity[lvl1] → component='HeartModuleComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   HealthCapacity[lvl2] → component='HeartModuleComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   HealthCapacity[lvl3] → component='HeartModuleComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   Jetpack[lvl1] → component='JetpackComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   RunEfficiency[lvl1] → component='DashBootComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   ShadowSureshot[lvl0] → component='ShadowSureShotComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   TankGuard[lvl0] → component='TankGuardComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   TankGuard[lvl1] → component='TankGuardComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump]   TankGuard[lvl2] → component='TankGuardComponent' ×1
[Info   :SlimeRancher2-AP] [AP-Dump] --- Unique IdentifiableType names (12) ---
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='ArchiveKeyComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='DashBootComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='ExtraTankComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='HeartModuleComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='JetpackComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='PowerCoreComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='PowerInjectorComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='RegenComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='ShadowSureShotComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='SureShotComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='TankBoosterComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] Component  name='TankGuardComponent'
[Info   :SlimeRancher2-AP] [AP-Dump] =========== UPGRADE COMPONENT DUMP END ===========
