[Info   :SlimeRancher2-AP] [AP-Dump] ===== SHOP CONDITION DUMP =====
[Info   :SlimeRancher2-AP] [AP-Dump] Category 'NightMarket'  providers=2
[Info   :SlimeRancher2-AP] [AP-Dump]  Group[0] 'NightMarket_BaseRuleSet'  groupCondition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]   Table[0] 'NightMarket_BaseTable'  fixedItems=True
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[0] '3a3367e85e9ef5f45bd2b1a7eb069616'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[1] '59043c01bf4be0b4b9dfa38fd1de4f77'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[2] 'd88229eb617fc6b4880839abe4c8ce98'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[3] '1ddbca3c712809a4eadf843da8088ee6'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[4] 'bccae73672ab301438bcc2235fe3b7dc'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[5] '080aab85efaa218488c3f9eed0f61401'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[6] 'd90aa684044891540a4c633be800c3f3'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[7] 'c80cd58e9505d4f41b9d02d29b80e6a0'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[8] '617ecd43abace184a9fa8baaad91530b'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[9] 'ba33533728d11124e8f103fdc8d55846'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[10] 'e108f5da794e36c40b83e0a3ee9a3375'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[11] 'e00ac5b948a3f5748b8e0fd5388e8b85'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[12] '6dbeecc5e88370448bbd7ca3aace3c3f'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[13] 'dea85af56aa3a744496392660e86c313'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[14] '6eb41ee88a3ac5145ae13ca5a6f1508e'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[15] '77700cf2220b81e40aca258abf23cf23'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[16] 'f2c40322d05974b4f97531bbe0d02e24'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[17] '0c9ec34c582e51c438eb50ac4b5c873c'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[18] '27a1c5014fca8dd4ab29743c6997f7d9'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[19] 'ad06b900f7b084e4d9b103136cccea68'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[20] '0e716c466c06b584b85f6be7ac1a7e7b'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[21] '208c530bc88b6eb409bea6a054b765eb'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[22] 'e925e4bfa9f19d14682c45fbae3add8e'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[23] '7f9277c5d5e2b7644a5261aac42af0c7'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[24] '0c80810e129ea9146bdeb045a8959faa'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[25] '7671825c04aa8ea48a8bd7501c88fec1'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[26] '3216e367cd7f0734d843874167fbdd53'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[27] '8f6704bc66419c84eacbf1374386ac46'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[28] '4c1105b77d3deee4786861d6dd88c37b'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[29] 'c6a6f33c87063af4482bcc3dd87d1c5b'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[30] 'd9f915d4fefcd7849838ef1491f84cc3'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[31] '4f2463eb06d99ab4195237c3e9a47eec'  cost=0nb  condition=ALL_OF(ANY_OF() , NONE_OF())
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[32] '85d3b5fdeb29bc14185abd41a702fd4a'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[33] '857aa19687f452c439559c55ff063051'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]  Group[1] 'NightMarket_DroneComponentRuleSet'  groupCondition=ALL_OF(GadgetEventQueryComponent[Count=-1608125008])
[Info   :SlimeRancher2-AP] [AP-Dump]   Table[0] 'NightMarket_DroneComponentsTable'  fixedItems=True
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[0] '57b1531788e211c45918169b4ab9af43'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[1] '57b1531788e211c45918169b4ab9af43'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[2] '57b1531788e211c45918169b4ab9af43'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[3] '57b1531788e211c45918169b4ab9af43'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[4] '57b1531788e211c45918169b4ab9af43'  cost=0nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump] Category 'RangeExchange'  providers=6
[Info   :SlimeRancher2-AP] [AP-Dump]  Group[0] 'RangeExchange_BaseRuleSet'  groupCondition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]   Table[0] 'RangeExchange_BaseFixedTable'  fixedItems=True
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[0] 'Polestar Provisions: Yellow Reef Bush'  cost=20nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[1] 'Polestar Provisions: Pink Anemone'  cost=20nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[2] 'Polestar Provisions: Pink Anemone Cluster'  cost=20nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[3] 'Polestar Provisions: Blue Anemone'  cost=20nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[4] 'Polestar Provisions: Seashells'  cost=20nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[5] 'Polestar Provisions: Seashell Collection'  cost=20nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[6] 'Polestar Provisions: Sea Grass'  cost=20nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[7] 'Polestar Provisions: Seaweed'  cost=20nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[8] 'Polestar Provisions: Curly Seaweed'  cost=20nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[9] 'Polestar Provisions: Hive Resource Flag'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[10] 'Polestar Provisions: Mineral Resource Flag'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[11] 'Polestar Provisions: Spout Resource Flag'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[12] 'Polestar Provisions: Pink Reef Tree Cluster'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[13] 'Polestar Provisions: Pink Reef Tree'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[14] 'Polestar Provisions: Tall Pink Reef Tree'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[15] 'Polestar Provisions: Blue Swirl Tree'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[16] 'Polestar Provisions: Tall Pink Flower Reef'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[17] 'Polestar Provisions: Short Pink Flower Reef'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[18] 'Polestar Provisions: Pink Flower Reef'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[19] 'Polestar Provisions: Sandy Yellow Coral'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[20] 'Polestar Provisions: Pink Reef Bush'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[21] 'Polestar Provisions: Blue Reef Bush'  cost=40nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[22] 'Polestar Provisions: Reef Table'  cost=150nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[23] 'Polestar Provisions: Reef Chair'  cost=150nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[24] 'Polestar Provisions: Music Tile'  cost=100nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[25] 'Polestar Provisions: Music Pillar'  cost=100nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[26] 'Polestar Provisions: Large Simple Bench'  cost=300nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[27] 'Polestar Provisions: Slime Jail Standee'  cost=300nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[28] 'd5fbf3c63f5ad784ba6ca573d62c7619'  cost=300nb  condition=ALL_OF(IdentifiableEventQueryComponent[Count=-1608125008])
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[29] 'Polestar Provisions: Slimeball Goal'  cost=2500nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[30] 'Polestar Provisions: Seesaw'  cost=500nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[31] 'Polestar Provisions: Blue Seesaw'  cost=500nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[32] 'Polestar Provisions: Mint Seesaw'  cost=500nb  condition=ALL_OF()
[Info   :SlimeRancher2-AP] [AP-Dump]    Item[33] 'Polestar Provisions: Ship in a Bottle'  cost=3000nb  condition=ALL_OF()
